,Unnamed: 0,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,Q16_a
0,0,1.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,15,1.0,1
1,1,1.0,2.0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2.0,15,1.0,1
2,2,4.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,15,1.0,1
3,3,4.0,2.0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,3.0,15,1.0,1
4,4,2.0,1.0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,3.0,18,1.0,0
5,5,1.0,1.0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,6.0,15,1.0,1
6,6,2.0,1.0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,2.0,15,1.0,0
7,7,4.0,1.0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,3.0,18,2.0,1
8,8,4.0,1.0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,3.0,18,2.0,0
9,9,2.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2.0,15,1.0,0
10,10,4.0,1.0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1.0,18,2.0,1
11,11,2.0,1.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2.0,15,1.0,1
12,12,3.0,1.0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,2.0,18,2.0,1
13,13,1.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,15,1.0,1
14,14,3.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2.0,7,2.0,1
15,15,1.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,6.0,15,1.0,1
16,16,3.0,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2.0,7,2.0,1
17,17,2.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,7.0,15,2.0,1
18,18,2.0,1.0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,2.0,7,2.0,1
19,19,1.0,1.0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,4.0,15,2.0,1
20,20,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2.0,7,1.0,1
21,21,5.0,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0,15,1.0,0
22,22,1.0,1.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1.0,7,1.0,1
23,23,1.0,1.0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2.0,15,1.0,1
24,24,1.0,2.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,5.0,7,1.0,1
25,25,1.0,2.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,15,1.0,1
26,26,2.0,1.0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,2.0,7,1.0,1
27,27,1.0,1.0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1.0,15,1.0,1
28,28,4.0,2.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,15,1.0,1
29,29,2.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3.0,7,2.0,1
30,30,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2.0,7,2.0,1
31,31,2.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,7,1.0,1
32,32,2.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,2.0,7,1.0,1
33,33,3.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,3.0,7,1.0,1
34,34,2.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,2.0,7,2.0,1
35,35,1.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2.0,18,1.0,1
36,36,2.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3.0,7,1.0,1
37,37,3.0,1.0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,4.0,7,2.0,0
38,38,2.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,3.0,7,1.0,1
39,39,2.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2.0,7,2.0,0
40,40,2.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,2.0,7,2.0,1
41,41,2.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1.0,7,1.0,1
42,42,2.0,1.0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3.0,7,2.0,1
43,43,2.0,1.0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2.0,7,1.0,1
44,44,2.0,1.0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,3.0,7,2.0,1
45,45,1.0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2.0,15,2.0,1
46,46,2.0,1.0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,5.0,7,2.0,1
47,47,4.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,15,1.0,1
48,48,2.0,1.0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,4.0,7,2.0,1
49,49,3.0,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,7,1.0,1
50,50,2.0,1.0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2.0,7,2.0,1
51,51,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,4.0,7,2.0,1
52,52,3.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1.0,7,2.0,1
53,53,3.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2.0,7,2.0,1
54,54,2.0,1.0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,5.0,15,1.0,1
55,55,4.0,1.0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,3.0,7,1.0,1
56,56,1.0,1.0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1.0,7,2.0,1
57,57,4.0,1.0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,3.0,7,2.0,0
58,58,2.0,2.0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,2.0,7,2.0,1
59,59,2.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1.0,7,1.0,1
60,60,2.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,7,2.0,1
61,61,2.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.0,7,2.0,1
62,62,3.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,3.0,7,2.0,1
63,63,2.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,7,1.0,0
64,64,2.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2.0,7,1.0,1
65,65,2.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5.0,7,1.0,1
