,Unnamed: 0,Q1,Q2A1,Q2A2,Q2A3,Q2A4,Q2A5,Q2_1,Q3A1,Q3A2,Q3A3,Q3A4,Q3B1,Q3B2,Q4,Q4_1A1,Q4_1A2,Q4_1A3,Q4_1A4,Q4_1A5,Q4_1A6,Q4_1A7,Q4_1A8,Q4_1A9,Q4_1A10,Q5_1,Q5_2A1,Q5_2A2,Q5_2A3,Q6_1A1,Q6_1A2,Q6_1A3,Q6_2A1,Q6_2A2,Q6_2A3,Q6_3A1,Q6_3A2,Q6_3A3,Q7,Q8A1,Q8A2,Q8A3,Q9_1A1,Q9_1A2,Q9_1A3,Q9_1A4,Q9_1A5,Q9_1A6,Q9_1A7,Q9_1A8,Q9_1A9,Q9_1A10,Q9_1A11,Q9_1A12,Q9_1A13,Q9_1A14,Q9_1A15,Q9_1A16,Q9_1A17,Q9_1A18,Q9_1A19,Q9_1A20,Q9_2A1,Q9_2A2,Q9_2A3,Q10_1A1,Q10_1A2,Q10_1A3,Q10_1A4,Q10_1A5,Q10_1A6,Q10_1A7,Q10_1A8,Q10_1A9,Q10_1A10,Q10_1A11,Q10_1A12,Q10_1A13,Q10_1A14,Q10_1A15,Q10_1A16,Q10_1A17,Q10_1B1,Q10_1B2,Q10_1B3,Q10_1B4,Q10_1B5,Q10_1B6,Q10_1B7,Q10_1B8,Q10_2_1A1,Q10_2_2A1,Q10_2_3A1,Q10_2_4A1,Q10_2_5A1,Q10_2_6A1,Q10_2_7A1,Q10_2_8A1,Q10_2_9A1,Q10_2_10A1,Q10_2_11A1,Q10_2_12A1,Q10_2_13A1,Q10_2_14A1,Q10_2_15A1,Q10_2_16A1,Q10_2_17A1,MQ10_2_1A1,MQ10_2_2A1,MQ10_2_3A1,MQ10_2_4A1,MQ10_2_5A1,MQ10_2_6A1,MQ10_2_7A1,MQ10_2_8A1,MQ10_2_9A1,MQ10_2_10A1,MQ10_2_11A1,MQ10_2_12A1,MQ10_2_13A1,MQ10_2_14A1,MQ10_2_15A1,MQ10_2_16A1,MQ10_2_17A1,Q10_2_1A2,Q10_2_2A2,Q10_2_3A2,Q10_2_4A2,Q10_2_5A2,Q10_2_6A2,Q10_2_7A2,Q10_2_8A2,Q10_2_9A2,Q10_2_10A2,Q10_2_11A2,Q10_2_12A2,Q10_2_13A2,Q10_2_14A2,Q10_2_15A2,Q10_2_16A2,Q10_2_17A2,MQ10_2_1A2,MQ10_2_2A2,MQ10_2_3A2,MQ10_2_4A2,MQ10_2_5A2,MQ10_2_6A2,MQ10_2_7A2,MQ10_2_8A2,MQ10_2_9A2,MQ10_2_10A2,MQ10_2_11A2,MQ10_2_12A2,MQ10_2_13A2,MQ10_2_14A2,MQ10_2_15A2,MQ10_2_16A2,MQ10_2_17A2,Q10_3A1,MQ10_3A1,CQ10_3A1,Q10_3A2,MQ10_3A2,CQ10_3A2,Q10_4A1,Q10_4A2,Q10_4A3,Q10_4A4,Q10_4A5,Q10_4A6,Q10_4A7,Q10_4A8,Q10_4A9,Q10_4A10,Q10_4A11,Q10_4A12,Q10_4A13,Q10_4A14,Q10_4A15,Q10_4A16,Q10_4A17,Q10_4A18,Q10_4A19,Q10_4A20,Q10_4A21,Q10_4A22,Q10_4A23,Q10_4A24,Q10_4A25,Q10_4A26,Q10_4A27,Q10_4A28,Q10_4A29,Q10_4A30,Q10_5A1,Q10_5A2,Q10_5A3,Q10_5A4,Q10_5A5,Q10_5A6,Q10_5A7,Q10_5A8,Q10_5A9,Q10_5_1,Q10_5_2,Q10_5_3,Q10_5_4,Q10_5_5,Q10_5_6,Q10_5_7,Q10_5_8,Q11A1,Q11A2,Q11A3,Q12_1A1,Q12_1A2,Q12_1A3,Q12_2A1,Q12_2A2,Q12_2A3,Q13,Q14_1T,Q14_1A,Q14_1B,Q14_1C,Q14_2_1,Q14_2_2,Q14_2_3,Q14_2_4,Q14_2_5,Q14_2_6,Q14_2_7,Q14_2_8,Q14_2_9,MQ14_1T,MQ14_1A,MQ14_1B,MQ14_1C,MQ14_2_1,MQ14_2_2,MQ14_2_3,MQ14_2_4,MQ14_2_5,MQ14_2_6,MQ14_2_7,MQ14_2_8,MQ14_2_9,CQ14_1T,CQ14_1A,CQ14_1B,CQ14_1C,CQ14_2_1,CQ14_2_2,CQ14_2_3,CQ14_2_4,CQ14_2_5,CQ14_2_6,CQ14_2_7,CQ14_2_8,CQ14_2_9,I_Q14_1T,I_Q14_2_1,I_Q14_2_3,I_Q14_2_4,I_Q14_2_5,I_Q14_2_6,I_Q14_2_7,I_Q14_2_8,I_Q14_2_9,I_MQ14_1T,I_MQ14_2_1,I_MQ14_2_3,I_MQ14_2_4,I_MQ14_2_5,I_MQ14_2_6,I_MQ14_2_7,I_MQ14_2_8,I_MQ14_2_9,I_CQ14_1T,I_CQ14_2_1,I_CQ14_2_3,I_CQ14_2_4,I_CQ14_2_5,I_CQ14_2_6,I_CQ14_2_7,I_CQ14_2_8,I_CQ14_2_9,G_Q14_1T,G_Q14_2_2,G_Q14_2_3,G_Q14_2_4,G_Q14_2_5,G_Q14_2_6,G_Q14_2_7,G_Q14_2_8,G_Q14_2_9,G_MQ14_1T,G_MQ14_2_2,G_MQ14_2_3,G_MQ14_2_4,G_MQ14_2_5,G_MQ14_2_6,G_MQ14_2_7,G_MQ14_2_8,G_MQ14_2_9,G_CQ14_1T,G_CQ14_2_2,G_CQ14_2_3,G_CQ14_2_4,G_CQ14_2_5,G_CQ14_2_6,G_CQ14_2_7,G_CQ14_2_8,G_CQ14_2_9,A_Q14_1T,A_Q14_2_2,A_Q14_2_3,A_Q14_2_4,A_Q14_2_5,A_Q14_2_6,A_Q14_2_7,A_Q14_2_8,A_Q14_2_9,A_MQ14_1T,A_MQ14_2_2,A_MQ14_2_3,A_MQ14_2_4,A_MQ14_2_5,A_MQ14_2_6,A_MQ14_2_7,A_MQ14_2_8,A_MQ14_2_9,A_CQ14_1T,A_CQ14_2_2,A_CQ14_2_3,A_CQ14_2_4,A_CQ14_2_5,A_CQ14_2_6,A_CQ14_2_7,A_CQ14_2_8,A_CQ14_2_9,GA_Q14_2_1T,GA_Q14_2_2,GA_Q14_2_3,GA_Q14_2_4,GA_Q14_2_5,GA_Q14_2_6,GA_Q14_2_7,GA_Q14_2_8,GA_Q14_2_9,GA_MQ14_1T,GA_MQ14_2_2,GA_MQ14_2_3,GA_MQ14_2_4,GA_MQ14_2_5,GA_MQ14_2_6,GA_MQ14_2_7,GA_MQ14_2_8,GA_MQ14_2_9,GA_CQ14_1T,GA_CQ14_2_2,GA_CQ14_2_3,GA_CQ14_2_4,GA_CQ14_2_5,GA_CQ14_2_6,GA_CQ14_2_7,GA_CQ14_2_8,GA_CQ14_2_9,DAY_MQ14_1T,DAY_I_MQ14_1T,DAY_A_MQ14_1T,DAY_GA_MQ14_1T,DAY_CQ14_1T,DAY_I_CQ14_1T,DAY_A_CQ14_1T,DAY_GA_CQ14_1T,Q15_1,Q15_2A1,Q15_2A2,Q15_2A3,Q15_2A4,Q15_2A5,Q15_2A6,Q15_2A7,Q15_2A8,Q15_2A9,Q15_2A10,Q15_2A11,Q15_2A12,Q16,Q17,Q18A1,Q18A2,Q19,Q20_1,Q20_2A1,Q20_2A2,Q20_2A3,ID,D_MON,D_QUA,D_COU,D_GEN,D_AGE,D_Q5_1,D_Q13,D_Q1,DD_Q1,WT,COUNTRY,CITY,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,Q16_a
407,408,6,,,,,,,,2.0,3.0,4.0,1.0,3.0,1,,,,,,,,,,,2,,,,1,5.0,6.0,8.0,9.0,1.0,5,2.0,,1,2,,,13,2.0,,,,,,,,,,,,,,,,,,,13,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1,1.0,1,2,2.0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1.0,,,,,,,,2,,,1,7.0,,1.0,,,1,800.0,800.0,0.0,0.0,300.0,,300.0,100.0,100.0,0.0,0.0,0.0,0.0,800.0,800.0,0.0,0.0,300.0,,300.0,100.0,100.0,0.0,0.0,0.0,0.0,2,2,1,1,3.0,,4,3,2,1,1,1,1,800.0,300.0,300.0,100.0,100.0,0.0,0.0,0.0,0.0,800.0,300.0,300.0,100.0,100.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,400.0,,,4.0,4.0,,,5,5,5,5,5,3,5,5,5,3,5,5,5,5,5,5,5,,,,,,35,1,1,15,1,2,2,1,4,2,0.40935236903753996,51,5145,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
443,444,3,,,,,,,1.0,,,,,,1,,,,,,,,,,,2,,,,9,7.0,,,,,5,,,4,6,7.0,,4,5.0,13.0,2.0,,,,,,,,,,,,,,,,,13,4.0,5.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,29.0,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,29,29.0,12,30,30.0,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,29.0,,,3,,,3,4.0,2.0,9.0,,,1,830.0,0.0,830.0,0.0,200.0,,300.0,300.0,30.0,0.0,0.0,0.0,0.0,830.0,0.0,830.0,0.0,200.0,,300.0,300.0,30.0,0.0,0.0,0.0,0.0,2,1,2,1,2.0,,4,4,1,1,1,1,1,830.0,200.0,300.0,300.0,30.0,0.0,0.0,0.0,0.0,830.0,200.0,300.0,300.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6666666666667,27.6666666666667,,,1.0,1.0,,,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,50000.0,,,,,38,1,1,15,1,3,2,1,3,2,0.29939023552101,58,5037,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
491,492,1,4.0,,,,,2.0,,,3.0,4.0,,12.0,1,,,,,,,,,,,2,,,,1,,,1.0,,,2,,,1,1,,,13,,,,,,,,,,,,,,,,,,,,13,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,4,4.0,4,5,5.0,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4.0,,,,,,,,14,,,13,,,,,,1,334.9935,277.236,57.7575,0.0,182.5137,,0.0,120.1356,32.3442,0.0,0.0,0.0,0.0,334.9935,277.236,57.7575,0.0,182.5137,,0.0,120.1356,32.3442,0.0,0.0,0.0,0.0,1,1,1,1,2.0,,1,4,1,1,1,1,1,334.9935,182.5137,0.0,120.1356,32.3442,0.0,0.0,0.0,0.0,334.9935,182.5137,0.0,120.1356,32.3442,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.9987,66.9987,,,1.0,1.0,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,,,,,,42,1,1,15,1,2,2,1,1,1,0.40935236903753996,61,5073,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1054,1055,1,4.0,,,,,10.0,1.0,,,,,,1,,,,,,,,,,,2,,,,9,,,,,,2,,,3,7,,,2,3.0,4.0,9.0,13.0,,,,,,,,,,,,,,,,4,9.0,3.0,1.0,,,,,,,,9.0,,,,,,,,,1.0,,,4.0,,,,,4.0,,,0.0,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,,,4,4.0,4,5,5.0,5,1,2.0,4.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4.0,,,,,,,,78,2.0,1.0,7,1.0,,7.0,3.0,13.0,1,1432.386,1108.944,323.442,0.0,924.12,,462.06,46.206,0.0,0.0,0.0,0.0,0.0,1432.386,1108.944,323.442,0.0,924.12,,462.06,46.206,0.0,0.0,0.0,0.0,0.0,3,3,1,1,4.0,,4,3,1,1,1,1,1,1432.386,924.12,462.06,46.206,0.0,0.0,0.0,0.0,0.0,1432.386,924.12,462.06,46.206,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.4772,286.4772,,,3.0,3.0,,,5,5,0,5,5,5,5,5,5,1,3,5,5,5,5,5,5,,,,,,91,1,1,15,1,4,2,1,1,1,0.26910352217531,51,5145,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1
1063,1064,1,2.0,,,,,3.0,1.0,,,,,,1,,,,,,,,,,,1,14.0,2.0,1.0,5,1.0,3.0,1.0,2.0,4.0,3,4.0,6.0,1,1,2.0,5.0,2,4.0,8.0,11.0,16.0,18.0,,,,,,,,,,,,,,,2,4.0,11.0,1.0,,,,,,,8.0,9.0,,,,,,,,,1.0,2.0,,4.0,,,,,3.0,1.0,,2.0,,,,,,,,,,,,,,3.0,1.0,,2.0,,,,,,,,,,,,,,4.0,2.0,,3.0,,,,,,,,,,,,,,4.0,2.0,,3.0,,,,,,,,,,,,,,6,6.0,6,7,7.0,7,80,1.0,3.0,4.0,5.0,62.0,81.0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,6.0,,,,,,,,1,81.0,80.0,4,10.0,3.0,3.0,9.0,10.0,2,1250.0,0.0,1250.0,0.0,,1200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,0.0,1250.0,0.0,,1200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,3,1,,5.0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.0,1200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,1200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.0,1200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1250.0,1200.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,178.57142857142898,,178.57142857142898,,2.0,,2.0,,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,4,4,60000.0,,,,,92,1,1,18,1,1,1,2,1,1,1.03061398737627,66,5109,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0
1124,1125,1,,,,,,,1.0,,,,,,1,,,,,,,,,,,1,4.0,2.0,,6,,,,,,4,,,1,1,,,1,2.0,5.0,8.0,10.0,11.0,17.0,19.0,,,,,,,,,,,,,10,2.0,8.0,,,3.0,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,11.0,,,,,,,10,10.0,10,11,11.0,11,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,10.0,,,,,,,,100,,,1,3.0,4.0,1.0,15.0,,1,8500.0,3000.0,5500.0,0.0,2800.0,,5000.0,300.0,400.0,0.0,0.0,0.0,0.0,8500.0,3000.0,5500.0,0.0,2800.0,,5000.0,300.0,400.0,0.0,0.0,0.0,0.0,6,5,6,1,5.0,,5,4,4,1,1,1,1,8500.0,2800.0,5000.0,300.0,400.0,0.0,0.0,0.0,0.0,8500.0,2800.0,5000.0,300.0,400.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.727272727273,772.727272727273,,,7.0,7.0,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,150000.0,,,,,99,1,1,15,1,2,1,1,1,1,0.40935236903753996,71,5536,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1
1132,1133,5,2.0,,,,,2.0,1.0,,,,,,1,,,,,,,,,,,1,2.0,7.0,10.0,3,6.0,,1.0,4.0,5.0,5,2.0,4.0,1,2,7.0,,1,2.0,4.0,7.0,10.0,,,,,,,,,,,,,,,,2,10.0,4.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,9,9.0,9,10,10.0,10,1,3.0,4.0,5.0,14.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,9.0,,,,,,1,3.0,5.0,1,2.0,8.0,3.0,10.0,4.0,1,602.9883,0.0,602.9883,0.0,187.1343,,138.618,184.824,92.412,0.0,0.0,0.0,0.0,602.9883,0.0,602.9883,0.0,187.1343,,138.618,184.824,92.412,0.0,0.0,0.0,0.0,2,1,2,1,2.0,,3,4,2,1,1,1,1,602.9883,187.1343,138.618,184.824,92.412,0.0,0.0,0.0,0.0,602.9883,187.1343,138.618,184.824,92.412,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.29883,60.29883,,,1.0,1.0,,,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,,,,,,100,1,1,15,1,3,1,1,4,2,0.29939023552101,71,5540,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0
1248,1249,1,4.0,,,,,3.0,1.0,,,,,,1,,,,,,,,,,,1,17.0,,,4,,,,,,1,,,1,2,6.0,,2,6.0,7.0,10.0,11.0,12.0,,,,,,,,,,,,,,,10,11.0,12.0,1.0,,,,,,,,9.0,,,,,,,,,1.0,,,4.0,,,,,4.0,,,0.0,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,,,4,4.0,4,5,5.0,5,1,3.0,4.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4.0,,,,,,,,3,1.0,4.0,2,5.0,3.0,3.0,9.0,10.0,2,1150.0,0.0,1150.0,0.0,,1000.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,0.0,1150.0,0.0,,1000.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,3,1,,4.0,3,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150.0,1000.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,1000.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150.0,1000.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,1000.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,230.0,,230.0,,3.0,,3.0,,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,,1.0,1.0,,,200,3,1,18,2,2,1,2,1,1,0.38915191784339004,66,5006,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1
1251,1252,1,4.0,,,,,38.0,1.0,,,,,,1,,,,,,,,,,,1,1.0,2.0,3.0,4,9.0,,,,,1,4.0,3.0,1,5,7.0,,1,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,13.0,,,,,,,,,,10,4.0,13.0,1.0,,,,,,,,9.0,,,,,,,,,1.0,,,4.0,,,,,4.0,,,0.0,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,,,4,4.0,4,5,5.0,5,80,1.0,3.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4.0,,,,,,,,1,80.0,3.0,1,2.0,7.0,3.0,2.0,9.0,2,1100.0,0.0,1100.0,0.0,,850.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,1100.0,0.0,,850.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,3,1,,4.0,4,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,850.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,850.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100.0,850.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,850.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,220.0,,220.0,,3.0,,3.0,,4,5,5,5,5,5,5,5,4,4,4,4,4,3,5,4,5,5000.0,2.0,,,,201,3,1,18,2,3,1,2,1,1,0.46721688729690997,66,5006,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0
1255,1256,1,2.0,,,,,8.0,,2.0,3.0,4.0,19.0,14.0,1,,,,,,,,,,,1,14.0,7.0,13.0,5,1.0,6.0,1.0,3.0,,2,3.0,9.0,4,1,3.0,4.0,1,2.0,3.0,4.0,7.0,,,,,,,,,,,,,,,,3,1.0,4.0,1.0,2.0,,,,,,,,,,,,,,16.0,,1.0,,,,,6.0,,8.0,3.0,,,,,,,,,,,,2.0,,,,3.0,3.0,,,,,,,,,,,,2.0,,,,3.0,4.0,,,,,,,,,,,,3.0,,,,4.0,4.0,,,,,,,,,,,,3.0,,,,4.0,8,8.0,8,9,9.0,9,14,1.0,5.0,8.0,107.0,108.0,109.0,112.0,57.0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,8.0,,,,,,,,109,107.0,1.0,1,7.0,6.0,3.0,2.0,13.0,1,657.543,219.18099999999998,438.36199999999997,0.0,493.15725,,65.7543,32.87715,21.9181,0.0,43.8362,0.0,0.0,657.543,219.18099999999998,438.36199999999997,0.0,493.15725,,65.7543,32.87715,21.9181,0.0,43.8362,0.0,0.0,2,1,1,1,3.0,,2,3,1,1,3,1,1,657.543,493.15725,65.7543,32.87715,21.9181,0.0,43.8362,0.0,0.0,657.543,493.15725,65.7543,32.87715,21.9181,0.0,43.8362,0.0,0.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.0603333333333,73.0603333333333,,,1.0,1.0,,,3,4,4,5,4,3,3,4,4,3,3,4,5,3,3,4,4,,1.0,2.0,,,201,7,3,15,1,5,1,1,1,1,0.3112954691764,244,5152,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0
