,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,Q16_a
11748,3.0,1.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,3.0,0,2.0,1
11749,1.0,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,3.0,0,1.0,1
11750,2.0,1.0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,2.0,0,2.0,1
11751,3.0,1.0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,4.0,0,1.0,1
11752,2.0,1.0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,6.0,0,1.0,1
11753,2.0,1.0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,4.0,0,2.0,1
11754,2.0,1.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,2.0,0,1.0,1
11755,2.0,1.0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1.0,0,2.0,1
11756,2.0,1.0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,5.0,0,2.0,1
11757,2.0,1.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,4.0,0,1.0,1
11758,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3.0,0,1.0,1
11759,3.0,1.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.0,0,2.0,1
11760,3.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4.0,0,2.0,1
11761,3.0,1.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0,1
11762,2.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5.0,0,2.0,1
11763,2.0,1.0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,6.0,0,1.0,1
11764,2.0,1.0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,3.0,0,1.0,1
11765,1.0,2.0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,6.0,0,1.0,1
11766,1.0,2.0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,4.0,0,1.0,1
11767,2.0,1.0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,4.0,0,1.0,1
11768,2.0,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3.0,0,2.0,1
11769,2.0,1.0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,3.0,0,2.0,1
11770,2.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3.0,0,1.0,1
11771,2.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0,1
11772,2.0,1.0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,5.0,0,1.0,1
11773,1.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0,0,1.0,1
11774,2.0,1.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3.0,0,2.0,1
11775,3.0,1.0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,2.0,0,2.0,1
