,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,D_AGE,Q16_a,Q15_2A1,Q15_2A2,Q15_2A3,Q15_2A4,Q15_2A5,Q15_2A6,Q15_2A7,Q15_2A8,Q15_2A9,Q15_2A10,Q15_2A11,Q15_2A12,Q10_2A1
0,,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2.0,1,1.0,2.0,1,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0
1,,2.0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2.0,1,1.0,3.0,1,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0
2,4.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,1,1.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,14.0
3,4.0,2.0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,3.0,1,1.0,4.0,1,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,78.0
4,2.0,1.0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,3.0,0,1.0,1.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
5,,1.0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,6.0,1,1.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,100.0
6,2.0,1.0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,2.0,1,1.0,3.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0
7,4.0,1.0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,3.0,0,2.0,2.0,1,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
8,4.0,1.0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,3.0,0,2.0,3.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,1.0
9,2.0,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2.0,1,1.0,5.0,0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,109.0
10,4.0,1.0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1.0,0,2.0,4.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,80.0
11,2.0,1.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2.0,1,1.0,2.0,1,5.0,5.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,3.0,5.0,5.0,4.0
12,3.0,1.0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,2.0,0,2.0,2.0,1,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,1.0
13,,1.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2.0,1,1.0,3.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0
14,3.0,1.0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2.0,0,2.0,2.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,108.0
15,,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,6.0,1,1.0,5.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,19.0
16,3.0,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2.0,0,2.0,2.0,1,3.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,2.0,2.0,5.0,3.0,2.0
17,2.0,1.0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,98.0,1,2.0,5.0,1,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,7.0
18,2.0,1.0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,2.0,0,2.0,5.0,1,4.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,5.0
19,,1.0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,4.0,1,2.0,3.0,1,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0
20,2.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2.0,0,1.0,3.0,1,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,7.0
21,5.0,3.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0,1,1.0,2.0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,308.0
