,Q2A1,Q5_1,QQ_1,QQ_2,QQ_3,QQ_4,QQ_5,QQ_6,QQ_7,QQ_8,QQ_9,QQ_10,QQ_11,QQ_12,QQ_13,QQ_14,CQ14_1T,D_COU,D_GEN,Q16_a
0,1.0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,15,1,1
1,1.0,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2,15,1,1
2,4.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,15,1,1
3,4.0,2,0,1,1,1,1,0,0,0,0,0,1,0,0,0,3,15,1,1
4,2.0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,3,18,1,0
5,1.0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,6,15,1,1
6,2.0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,2,15,1,0
7,4.0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,3,18,2,1
8,4.0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,3,18,2,0
9,2.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,15,1,0
10,4.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,18,2,1
11,2.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2,15,1,1
12,3.0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,2,18,2,1
13,1.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,15,1,1
14,3.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,7,2,1
15,1.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,6,15,1,1
16,3.0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,7,2,1
17,2.0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,7,15,2,1
18,2.0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,2,7,2,1
19,1.0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,4,15,2,1
20,2.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,7,1,1
21,5.0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,15,1,0
22,1.0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,7,1,1
23,1.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,15,1,1
24,1.0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,5,7,1,1
25,1.0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,15,1,1
26,2.0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,2,7,1,1
27,1.0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,15,1,1
28,4.0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,15,1,1
29,2.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,7,2,1
30,2.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,7,2,1
31,2.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,7,1,1
32,2.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,2,7,1,1
33,3.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,3,7,1,1
34,2.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,2,7,2,1
35,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,18,1,1
36,2.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,3,7,1,1
37,3.0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,4,7,2,0
38,2.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,3,7,1,1
39,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,7,2,0
40,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,2,7,2,1
41,2.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,7,1,1
42,2.0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3,7,2,1
43,2.0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,2,7,1,1
44,2.0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,3,7,2,1
45,1.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,15,2,1
46,2.0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,5,7,2,1
47,4.0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,15,1,1
48,2.0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,4,7,2,1
49,3.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,7,1,1
50,2.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,7,2,1
51,2.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,4,7,2,1
52,3.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,7,2,1
53,3.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,7,2,1
54,2.0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,5,15,1,1
55,4.0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,3,7,1,1
56,1.0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,7,2,1
57,4.0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,3,7,2,0
58,2.0,2,0,1,1,1,0,1,0,0,0,0,1,0,0,0,2,7,2,1
59,2.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,7,1,1
60,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,1
61,2.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,7,2,1
62,3.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,3,7,2,1
63,2.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,7,1,0
64,2.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,7,1,1
65,2.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,7,1,1
66,3.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,2,7,2,1
67,2.0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3,7,1,1
68,3.0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,2,7,2,1
69,1.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,7,1,1
70,4.0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,7,1,1
71,3.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,7,2,1
72,3.0,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,6,7,1,1
73,2.0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,7,2,0
74,2.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,5,7,1,1
75,2.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,15,1,1
76,1.0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2,7,2,1
77,2.0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,3,7,2,1
78,2.0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,2,7,1,1
79,2.0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,5,15,1,1
80,1.0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,2,7,2,1
81,1.0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,15,1,1
82,2.0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,2,7,1,1
83,2.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,5,7,2,1
84,2.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,15,2,1
85,2.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,7,1,1
86,2.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,7,2,1
87,3.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,7,2,1
88,2.0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,7,2,0
89,2.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,7,2,1
90,3.0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,18,2,1
91,3.0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,3,18,2,1
92,4.0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,2,18,2,1
93,2.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3,18,2,1
94,4.0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,3,18,1,1
95,3.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,2,18,1,0
96,3.0,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,5,18,1,0
97,2.0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,2,18,1,0
98,1.0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,18,2,1
99,1.0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,15,1,0
100,2.0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,3,7,1,1
101,2.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,7,2,1
102,1.0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2,15,1,0
103,3.0,3,1,1,0,0,1,0,0,0,0,1,0,1,0,1,4,7,1,1
104,2.0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,7,2,1
105,1.0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,7,1,1
106,2.0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,4,7,1,1
107,2.0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,7,1,1
108,3.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,6,18,2,1
109,2.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,7,2,1
110,2.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,3,7,1,1
111,4.0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,15,1,1
112,2.0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,7,1,1
113,2.0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,5,18,1,1
114,1.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,2,7,2,1
115,1.0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,15,1,1
116,2.0,2,0,1,1,0,1,1,0,0,0,0,0,1,0,1,3,15,1,1
117,3.0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,3,7,2,1
118,1.0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,6,18,1,1
119,1.0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,7,2,1
120,1.0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6,15,1,1
